time,pleth_1
22:50.7,65521
22:50.7,65527
22:50.7,65525
22:50.7,65525
22:50.7,65539
22:50.7,65523
22:50.8,65513
22:50.8,65527
22:50.8,65527
22:50.8,65518
22:50.8,65526
22:50.8,65536
22:50.8,65530
22:50.8,65530
22:50.8,65532
22:50.8,65538
22:50.8,65542
22:50.8,65524
22:50.8,65524
22:50.8,65538
22:50.8,65554
22:50.8,65529
22:50.8,65529
22:50.8,65529
22:50.8,65533
22:50.8,65530
22:50.8,65535
22:50.8,65534
22:50.8,65534
22:50.8,65534
22:50.8,65540
22:50.8,65538
22:50.8,65543
22:50.8,65543
22:50.8,65546
22:50.8,65530
22:50.8,65542
22:50.8,65544
22:50.8,65544
22:50.8,65556
22:50.8,65559
22:50.8,65549
22:50.8,65556
22:50.8,65556
22:50.8,65547
22:50.8,65528
22:50.8,65543
22:50.8,65543
22:50.8,65552
22:50.8,65545
22:50.8,65531
22:50.8,65541
22:50.8,65541
22:50.8,65544
22:50.8,65528
22:50.9,65537
22:50.9,65521
22:50.9,65521
22:50.9,65507
22:50.9,65513
22:50.9,65497
22:50.9,65493
22:50.9,65493
22:50.9,65492
22:50.9,65497
22:50.9,65484
22:50.9,65469
22:50.9,65469
22:50.9,65468
22:50.9,65458
22:50.9,65448
22:50.9,65433
22:50.9,65433
22:50.9,65434
22:50.9,65440
22:50.9,65421
22:50.9,65395
22:50.9,65395
22:50.9,65408
22:50.9,65404
22:50.9,65381
22:50.9,65368
22:50.9,65368
22:50.9,65368
22:50.9,65365
22:50.9,65355
22:50.9,65340
22:50.9,65340
22:50.9,65332
22:50.9,65320
22:50.9,65321
22:50.9,65320
22:50.9,65320
22:50.9,65304
22:50.9,65306
22:50.9,65285
22:50.9,65285
22:50.9,65291
22:50.9,65283
22:50.9,65267
22:50.9,65278
22:50.9,65278
22:50.9,65273
22:50.9,65258
22:50.9,65253
22:50.9,65245
22:51.0,65245
22:51.0,65262
22:51.0,65245
22:51.0,65235
22:51.0,65244
22:51.0,65244
22:51.0,65243
22:51.0,65241
22:51.0,65231
22:51.0,65222
22:51.0,65222
22:51.0,65222
22:51.0,65223
22:51.0,65230
22:51.0,65215
22:51.0,65215
22:51.0,65220
22:51.0,65222
22:51.0,65220
22:51.0,65209
22:51.0,65209
22:51.0,65220
22:51.0,65231
22:51.0,65220
22:51.0,65214
22:51.0,65214
22:51.0,65228
22:51.0,65220
22:51.0,65222
22:51.0,65232
22:51.0,65232
22:51.0,65232
22:51.0,65244
22:51.0,65237
22:51.0,65240
22:51.0,65240
22:51.0,65234
22:51.0,65242
22:51.0,65235
22:51.0,65235
22:51.0,65255
22:51.0,65245
22:51.0,65241
22:51.0,65253
22:51.0,65253
22:51.0,65255
22:51.0,65254
22:51.0,65259
22:51.0,65255
22:51.0,65255
22:51.1,65268
22:51.1,65257
22:51.1,65274
22:51.1,65264
22:51.1,65264
22:51.1,65288
22:51.1,65267
22:51.1,65279
22:51.1,65272
22:51.1,65272
22:51.1,65300
22:51.1,65294
22:51.1,65316
22:51.1,65301
22:51.1,65301
22:51.1,65302
22:51.1,65311
22:51.1,65306
22:51.1,65302
22:51.1,65302
22:51.1,65316
22:51.1,65328
22:51.1,65321
22:51.1,65320
22:51.1,65320
22:51.1,65335
22:51.1,65339
22:51.1,65340
22:51.1,65341
22:51.1,65341
22:51.1,65340
22:51.1,65336
22:51.1,65339
22:51.1,65339
22:51.1,65343
22:51.1,65352
22:51.1,65343
22:51.1,65335
22:51.1,65335
22:51.1,65350
22:51.1,65338
22:51.1,65339
22:51.1,65332
22:51.1,65332
22:51.1,65333
22:51.1,65335
22:51.1,65323
22:51.1,65316
22:51.1,65316
22:51.1,65327
22:51.2,65324
22:51.2,65325
22:51.2,65325
